X,Y,OBJECTID,LM_ID,LM_NAME,CATEGORY,LM_TYPE,SDA_CAT,STR_ADDR,UNIT,MUN,PR,POSTAL,PHONE,WEBSITE,Type,ExtDay,WARDNUM,ROPADRID
-8873284.2747,5393289.4137,11,CC-PLP-009a,All Saints Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,4105 Colonial Dr,,Mississauga,ON,L5L 4E8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0474,School-Based Centre,No,8,
-8891497.4294,5419498.3752,12,CC-YMC-076,Alloa (YMCA),Social Services,Child Care (YMCA),Child Care Centre,12287 Mississauga Rd,,Caledon,ON,L7C 1X1,905-843-2332,https://peelchildcare.cioc.ca/record/CDR1352,School-Based Centre,Yes,2,406066
-8872587.2521,5420365.6049,13,CC-PLP-173,Aloma Cr. (PLASP),Social Services,Child Care (PLASP),Child Care Centre,57 Aloma Cres,,Brampton,ON,L6T 2N8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1043,School-Based Centre,Yes,7,84476
-8877365.3697,5426457.2204,14,CC-OTH-199,Alpha Child Care I,Social Services,Child Care (Other),Child Care Centre,900 Peter Robertson Blvd ,10,Brampton,ON,L6R 1A2,905-458-4884,https://peelchildcare.cioc.ca/record/CDR0378,Community-Based For-Profit Centre,No,9,187302
-8876943.0129,5415886.4042,15,CC-OTH-153,Alpha Child Care II - Cathedral,Social Services,Child Care (Other),Child Care Centre,3 Cathedral Rd,,Brampton,ON,L6W 2P1,905-456-1811,https://peelchildcare.cioc.ca/record/CDR0404,Community-Based For-Profit Centre,No,3,390928
-8876683.2242,5401742.422,16,CC-OTH-235,Alpha's Preschool Academy,Social Services,Child Care (Other),Child Care Centre,6435 Erin Mills Pky,,Mississauga,ON,L5T 2H9,905-812-8880,https://peelchildcare.cioc.ca/record/CDR0596,Community-Based For-Profit Centre,No,11,326419
-8912804.7109,5443522.5348,17,CC-YMC-082,Alton YMCA,Social Services,Child Care (YMCA),Child Care Centre,19681 Main St,,Caledon,ON,L7K 0E1,1-866-317-6251,https://peelchildcare.cioc.ca/record/CDR1717,School-Based Centre,Yes,1,402119
-8874301.8772,5408916.3186,18,CC-OTH-138,Angelic Treasures Christian Child Care,Social Services,Child Care (Other),Child Care Centre,6970 Vicar Gate,,Mississauga,ON,L5W 1G7,905-670-6614,https://peelchildcare.cioc.ca/record/CDR0548,Community-Based For-Profit Centre,No,11,212098
-8887024.4839,5423364.4804,19,CC-OTH-358,Angelic Treasures Christian Daycare,Social Services,Child Care (Other),Child Care Centre,2626 Mayfield Rd,,Caledon,ON,L7C 3K7,905-495-1417,https://peel.cioc.ca/record/CDR1758?Number=0 ,Community-Based For-Profit Centre,No,2,74995
-8858362.2503,5402790.3143,20,CC-OTH-281,Appleseed Academy of Early Learning,Social Services,Child Care (Other),Child Care Centre,2067 Stanfield Rd,,Mississauga,ON,L6X 1J3,905-459-9219,https://peelchildcare.cioc.ca/record/CDR1139,Community-Based For-Profit Centre,No,1,117004
-8885290.6961,5417979.3082,21,CC-OTH-292,Applewood Montessori Academy & Daycare (Applewood),Social Services,Child Care (Other),Child Care Centre,333 Fairhill Ave,1-6,Brampton,ON,L7A 3N9,416-951-4688,https://peelchildcare.cioc.ca/record/CDR0036,Community-Based For-Profit Centre,No,6,244754
-8879081.8642,5416694.6214,22,CC-OTH-367,Applewood Montessori Academy & Daycare (Downtown),Social Services,Child Care (Other),Child Care Centre,98A Queen St W,,Brampton,ON,L6X1A4,905-453-2022,https://peel.cioc.ca/record/CDR1797?Number=1,Community-Based For-Profit Centre,No,1,389923
-8859601.7574,5396498.8511,23,CC-OTH-016,Applewood Rainbow Montessori School,Social Services,Child Care (Other),Child Care Centre,24 Stavebank Rd,,Mississauga,ON,L5G 2T5,905-274-2321,https://peelchildcare.cioc.ca/record/CDR0576,Community-Based For-Profit Centre,No,1,
-8879688.9163,5421450.8091,24,CC-PLP-133,Arnott Charlton (PLASP),Social Services,Child Care (PLASP),Child Care Centre,140 Winterfold Dr,,Brampton,ON,L6V 1V6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0751,School-Based Centre,Yes,1,253608
-8874296.4472,5395000.7999,25,CC-PLP-016,Artesian Drive (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3325 Artesian Dr,,Mississauga,ON,L5M 7J8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0717,School-Based Centre,Yes,8,282747
-8886809.9343,5415770.5414,26,CC-PLP-237,Aylesbury (PLASP),Social Services,Child Care (PLASP),Child Care Centre,25 Aylesbury Dr,,Brampton,ON,L7A 0V3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1396,School-Based Centre,Yes,6,
-8867772.8435,5406618.2741,27,CC-FDC-021,Barondale (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,200 Barondale Dr,,Mississauga,ON,L5T 2J8,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0858,School-Based Centre,Yes,5,301179
-8875569.8396,5424128.6079,28,CC-OTH-332,Beesmart Child Care Centre,Social Services,Child Care (Other),Child Care Centre,1305 Williams Pkwy,,Brampton,ON,L6S 3J8,905-791-6770 ext 122,https://peelchildcare.cioc.ca/record/CDR1533,School-Based Centre,No,7,294320
-8907594.743,5432745.5784,29,CC-YMC-058,Belfountain (YMCA),Social Services,Child Care (YMCA),Child Care Centre,17247 Shaws Creek Rd,,Caledon,ON,L6P 3A5,647-367-9321,https://peelchildcare.cioc.ca/record/CDR1287,School-Based Centre,Yes,1,326398
-8868767.6792,5433106.72,30,CC-FDC-011,Beryl Ford (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,45 Ironshield Dr,,Brampton,ON,L6P 3N5,416-922-3434,https://peelchildcare.cioc.ca/record/CDR1038,School-Based Centre,Yes,10,260825
-8872799.6083,5419618.9274,31,CC-PLP-128,Birchbank (PLASP),Social Services,Child Care (PLASP),Child Care Centre,52 Birchbank Rd,,Brampton,ON,L6T 1L7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1049,School-Based Centre,Yes,7,75029
-8877332.2898,5413961.8935,32,CC-PLP-111,Bishop Francis Allen (PLASP),Social Services,Child Care (PLASP),Child Care Centre,325 McMurchy Ave S,,Brampton,ON,L6Y 1Z4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0753,School-Based Centre,Yes,3,282705
-8864983.2988,5401398.67,33,CC-PLP-063,Bishop Scalabrini (PLASP),Social Services,Child Care (PLASP),Child Care Centre,225 Central Pky W,,Mississauga,ON,L5B 3J5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0680,School-Based Centre,Yes,7,221571
-8873551.9985,5443738.0111,34,CC-OTH-237,Bizzy Buddies Learning and Childcare,Social Services,Child Care (Other),Child Care Centre,12612 Highway 50 ,13A,Caledon,ON,L7E 1T6,905-857-7648,https://peelchildcare.cioc.ca/record/CDR0976,Community-Based For-Profit Centre,No,5,392161
-8879757.8719,5427254.1964,35,CC-PLP-205,Blessed Michael J. McGivney (PLASP),Social Services,Child Care (PLASP),Child Care Centre,450 Fernforest Dr,,Brampton,ON,L6R 2P7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0786,School-Based Centre,Yes,9,86592
-8860005.3224,5397800.6602,36,CC-OTH-040,Blue Elephant Daycare,Social Services,Child Care (Other),Child Care Centre,1322 Hurontario St,,Mississauga,ON,L5G 3H3,905-891-1279,https://peelchildcare.cioc.ca/record/CDR0577,Community-Based For-Profit Centre,No,1,140228
-8872426.5639,5442954.1699,37,CC-YMC-026,Bolton YMCA Child Care,Social Services,Child Care (YMCA),Child Care Centre,12295 Highway 50,Box 812,Caledon,ON,L7E 5T5,905-857-3531 ext 300,https://peelchildcare.cioc.ca/record/CAL0951,Community-Based Non-Profit Centre,No,5,391971
-8875236.8056,5426691.8288,38,CC-OTH-293,Boni Montessori School,Social Services,Child Care (Other),Child Care Centre,9886 Torbram Rd,201A,Brampton,ON,L6S 3L9,905-790-2664,https://peelchildcare.cioc.ca/record/CDR1356,Community-Based For-Profit Centre,No,8,288806
-8878738.9337,5417375.3076,39,CC-YMC-017,Brampton YMCA,Social Services,Child Care (YMCA),Child Care Centre,20 Union St,,Brampton,ON,L6V 1R2,905-451-1400 ext 440,https://peelchildcare.cioc.ca/record/CDR0421,Community-Based Non-Profit Centre,No,1,
-8865629.7358,5424145.5339,40,CC-PLP-175,Brandon Gate (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3800 Brandon Gate Dr,,Mississauga,ON,L4T 3V9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1045,School-Based Centre,Yes,5,239694
-8859589.8332,5406540.1931,41,CC-PLP-096b,Brian W. Fleming (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3255 Havenwood Dr,,Mississauga,ON,L4X 2M2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0689,School-Based Centre,Yes,3,22672
-8859604.5973,5406584.4036,42,CC-PLP-096a,Brian W. Fleming Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3255 Havenwood Dr,,Mississauga,ON,L4X 2M2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0516,School-Based Centre,No,3,
-8863218.6058,5404068.2444,43,CC-PLP-082,Briarwood (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1065 Mississauga Valley Blvd,,Mississauga,ON,L5A 2A1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0681,School-Based Centre,Yes,4,222727
-8875152.3173,5403014.7608,44,CC-OTH-086,Bright Scholars Academy Inc. - Falconer,Social Services,Child Care (Other),Child Care Centre,24 Falconer Dr,,Mississauga,ON,L5N 1B1,905-826-3595,https://peelchildcare.cioc.ca/record/CDR0551,Community-Based For-Profit Centre,No,11,105102
-8863059.8756,5401464.1997,45,CC-OTH-071,Bright Scholars Academy Inc. - Kirwin,Social Services,Child Care (Other),Child Care Centre,3180 Kirwin Ave,,Mississauga,ON,L5A 2K7,905-896-4553,https://peelchildcare.cioc.ca/record/CDR1019,Community-Based For-Profit Centre,No,7,
-8877577.3455,5400817.8887,46,CC-OTH-059,Bright Scholars Montessori - Montevideo,Social Services,Child Care (Other),Child Care Centre,5920 Montevideo Rd,,Mississauga,ON,L5N 3J5,905-542-1895,https://peelchildcare.cioc.ca/record/CDR0390,Community-Based For-Profit Centre,No,9,
-8886226.0741,5427877.4595,47,CC-OTH-357,Bright Scholars Montessori Caledon,Social Services,Child Care (Other),Child Care Centre,225 Dougall Ave,,Caledon,ON,L7C 2H1,905-849-0762,https://peel.cioc.ca/record/CDR1758,Community-Based For-Profit Centre,No,2,477652
-8872100.0961,5420114.1156,48,CC-OTH-265,BrightPath - Avondale,Social Services,Child Care (Other),Child Care Centre,55 Avondale Blvd,,Brampton,ON,L6W 2C4,905-799-2212,https://peelchildcare.cioc.ca/record/CDR0391,Community-Based For-Profit Centre,No,7,281244
-8873972.6378,5443840.9323,49,CC-OTH-295,BrightPath - Bolton,Social Services,Child Care (Other),Child Care Centre,14 McEwan Dr W,1,Caledon,ON,L7E 1H1,905-857-4634,https://peelchildcare.cioc.ca/record/CAL0099,Community-Based For-Profit Centre,No,5,392144
-8877654.412,5412834.7397,50,CC-OTH-314,BrightPath - Charolais,Social Services,Child Care (Other),Child Care Centre,305 Charolais Blvd,,Brampton,ON,L6Y 2R2,905-452-5437,https://peelchildcare.cioc.ca/record/CDR1405,Community-Based For-Profit Centre,No,4,253772
-8863018.6291,5408821.807,51,CC-OTH-139,BrightPath - Dixie,Social Services,Child Care (Other),Child Care Centre,4560 Dixie Rd,,Mississauga,ON,L4W 1N2,905-629-8849,https://peelchildcare.cioc.ca/record/CDR0413,Community-Based For-Profit Centre,No,3,274117
-8867642.4701,5407181.3683,52,CC-OTH-125,BrightPath - Matheson East,Social Services,Child Care (Other),Child Care Centre,309 Matheson Blvd E,,Mississauga,ON,L5C 3N6,905-507-9796,https://peelchildcare.cioc.ca/record/CDR0509,Community-Based For-Profit Centre,No,5,142821
-8869202.3619,5406258.602,53,CC-OTH-121,BrightPath - Matheson West,Social Services,Child Care (Other),Child Care Centre,155 Matheson Blvd W,C,Mississauga,ON,L5R 3L5,905-568-4770,https://peelchildcare.cioc.ca/record/CDR0504,Community-Based For-Profit Centre,No,5,3970
-8877344.5655,5415125.0331,54,CC-OTH-266,BrightPath - Mill St.,Social Services,Child Care (Other),Child Care Centre,224 Mill St S,,Brampton,ON,L6Y 1T8,905-456-1798,https://peelchildcare.cioc.ca/record/CDR0410,Community-Based For-Profit Centre,No,3,52547
-8869279.4468,5406551.5809,55,CC-OTH-118,BrightPath - Milverton,Social Services,Child Care (Other),Child Care Centre,100 Milverton Dr,,Mississauga,ON,L5R 4H1,905-568-1371,https://peelchildcare.cioc.ca/record/CDR0543,Community-Based For-Profit Centre,No,5,105036
-8880578.8483,5414627.5885,56,CC-OTH-150,BrightPath - Queen,Social Services,Child Care (Other),Child Care Centre,685 Queen St W,,Brampton,ON,L6V 1A1,905-456-2273,https://peelchildcare.cioc.ca/record/CDR0429,Community-Based For-Profit Centre,No,4,167178
-8883104.3819,5423254.9379,57,CC-OTH-192,BrightPath - Sandalwood,Social Services,Child Care (Other),Child Care Centre,170 Sandalwood Pky E,11,Brampton,ON,L6Z 1Y5,905-846-4656,https://peelchildcare.cioc.ca/record/CDR0423,Community-Based For-Profit Centre,No,2,293972
-8876899.1401,5403033.4544,58,CC-OTH-091,BrightPath - Torquay Mews,Social Services,Child Care (Other),Child Care Centre,2172 Torquay Mews,,Mississauga,ON,L5N 2M6,905-542-2835,https://peelchildcare.cioc.ca/record/CDR0595,Community-Based For-Profit Centre,No,9,97409
-8868737.9148,5407905.257,59,CC-OTH-134,BrightPath - Traders,Social Services,Child Care (Other),Child Care Centre,220 Traders Blvd E,,Mississauga,ON,L4Z 1W7,905-712-2273,https://peelchildcare.cioc.ca/record/CDR0549,Community-Based For-Profit Centre,No,5,14935
-8865674.8562,5398799.9133,60,CC-OTH-043,BrightPath - Wolfedale,Social Services,Child Care (Other),Child Care Centre,3221 Wolfedale Rd,,Mississauga,ON,L5C 1V8,905-615-9991,https://peelchildcare.cioc.ca/record/CDR0468,Community-Based For-Profit Centre,No,6,96904
-8876417.4644,5426811.435,61,CC-OTH-200,BrightPath Professor's Lake Campus,Social Services,Child Care (Other),Child Care Centre,2 Philosopher's Trail,10,Brampton,ON,L6S 5L7,905-792-7593,https://peelchildcare.cioc.ca/record/CDR0388,Community-Based For-Profit Centre,No,8,315913
-8876983.8912,5419023.3943,62,CC-OTH-166,BrightPath Queen Campus,Social Services,Child Care (Other),Child Care Centre,255 Queen St E,5,Brampton,ON,L6W 2B8,905-799-0782,https://peelchildcare.cioc.ca/record/CDR0399,Community-Based For-Profit Centre,No,3,281926
-8882975.0937,5419308.8843,63,CC-OTH-197,BrightPath Van Kirk Campus,Social Services,Child Care (Other),Child Care Centre,35 Van Kirk Dr ,"19,20A",Brampton,ON,L7A 1A5,905-456-7339,https://peelchildcare.cioc.ca/record/CDR0854,Community-Based For-Profit Centre,No,2,299628
-8866964.4086,5406297.729,64,CC-OTH-239,Brilliant Minds Montessori - Bristol,Social Services,Child Care (Other),Child Care Centre,310 Bristol Rd E,,Mississauga,ON,L5V 2C8,905-501-0436,https://peelchildcare.cioc.ca/record/CDR0540,Community-Based For-Profit Centre,No,5,275293
-8863730.2454,5403288.0972,65,CC-OTH-097,Brilliant Minds Montessori - Mississauga Valley,Social Services,Child Care (Other),Child Care Centre,1275 Mississauga Valley Blvd,,Mississauga,ON,L5A 3R8,905-275-4144,https://peelchildcare.cioc.ca/record/CDR0511,Community-Based For-Profit Centre,No,4,
-8887407.4923,5418885.9594,66,CC-PLP-124,Brisdale (PLASP),Social Services,Child Care (PLASP),Child Care Centre,370 Brisdale Dr,,Brampton,ON,L7A 3K9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0779,School-Based Centre,No,6,249522
-8872970.94,5404737.7378,67,CC-PLP-084,Britannia (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1145 Swinbourne Dr,,Mississauga,ON,L5V 1C2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0701,School-Based Centre,Yes,11,293953
-8869445.7469,5394130.7163,68,CC-PLP-232,Brookmede (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2250 Council Ring Rd,,Mississauga,ON,L5L 1B7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0648,School-Based Centre,Yes,8,28184
-8905195.3117,5443777.3218,69,CC-OTH-322,Buds and Blossoms (Caledon),Social Services,Child Care (Other),Child Care Centre,2976 Charleston Sideroad,,Caledon,ON,L7K 0V8,519-942-2661,https://peelchildcare.cioc.ca/record/CDR1444,Community-Based For-Profit Centre,No,1,199749
-8883035.5938,5422468.7489,70,CC-OTH-189,Building Blocks Nursery School,Social Services,Child Care (Other),Child Care Centre,85 Sandalwood Pky E,,Brampton,ON,L6Z 4S3,905-846-3305,https://peelchildcare.cioc.ca/record/CDR0403,Community-Based For-Profit Centre,No,2,193281
-8860818.4767,5406290.4142,71,CC-PLP-094,Burnhamthorpe (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3465 Golden Orchard Dr,,Mississauga,ON,L4Y 3H7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0682,School-Based Centre,Yes,3,23291
-8885334.7123,5421980.0759,72,CC-PLP-138,Burnt Elm (PLASP),Social Services,Child Care (PLASP),Child Care Centre,85 Burnt Elm Dr,,Brampton,ON,L7A 1T8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0769,School-Based Centre,Yes,2,261637
-8875344.1309,5416314.5513,73,CC-OTH-183,Busy Bees Nursery School,Social Services,Child Care (Other),Child Care Centre,168 Kennedy Rd S,,Brampton,ON,L6W 3G6,905-454-7676,https://peelchildcare.cioc.ca/record/CDR0402,Community-Based For-Profit Centre,No,3,271052
-8882068.4024,5409043.0501,74,CC-OTH-350,Busy Hands 'N' Minds Childcare Centre Brampton,Social Services,Child Care (Other),Child Care Centre,8255 Financial Dr,,Brampton,ON,L6Y 0C1,905-569-2999,https://peelchildcare.cioc.ca/record/CDR1715,Community-Based For-Profit Centre,No,6,475853
-8873278.6518,5396634.4521,75,CC-OTH-241,Busy Hands 'n' Minds Childcare,Social Services,Child Care (Other),Child Care Centre,4615 Glen Erin Dr,,Mississauga,ON,L5M 4E8,905-569-2999,https://peelchildcare.cioc.ca/record/CDR0553,Community-Based For-Profit Centre,No,8,276408
-8903664.4901,5445428.1261,76,CC-YMC-056,Caledon Central (YMCA),Social Services,Child Care (YMCA),Child Care Centre,18357 Kennedy Rd,,Caledon,ON,L7K 1Y7,519-938-5566,https://peelchildcare.cioc.ca/record/CDR1091?Number=3,School-Based Centre,Yes,1,294896
-8890155.0919,5444305.6502,77,CC-YMC-059,Caledon East (YMCA),Social Services,Child Care (YMCA),Child Care Centre,15738 Airport Rd,,Caledon,ON,L6X 0E1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1289,School-Based Centre,Yes,3,84576
-8890628.3762,5445405.2994,78,CC-OTH-223,Caledon East Children's Place,Social Services,Child Care (Other),Child Care Centre,6029 Old Church Rd,,Caledon,ON,L7C 1H8,905-584-9189,https://peelchildcare.cioc.ca/record/CAL0321,Community-Based Non-Profit Centre,No,3,
-8890662.8005,5445561.7879,79,CC-OTH-224,Caledon Hills Montessori,Social Services,Child Care (Other),Child Care Centre,6046 Old Church Rd,,Caledon,ON,L0N 1E0,905-584-5114,https://peelchildcare.cioc.ca/record/CAL0122,Community-Based For-Profit Centre,No,3,85595
-8863552.3575,5403637.0547,80,CC-PLP-078,Canadian Martyrs (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1185 Mississauga Valley Blvd,,Mississauga,ON,L5A 3R7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0683,School-Based Centre,Yes,4,249672
-8880489.1219,5427820.9096,81,CC-PLP-176,Carberry (PLASP),Social Services,Child Care (PLASP),Child Care Centre,526 Fernforest Dr,,Brampton,ON,L6R 0W1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0792,School-Based Centre,Yes,9,320758
-8862413.4516,5401125.4926,82,CC-OTH-354,Caring for Kids - Dundas St,Social Services,Child Care (Other),Child Care Centre,130 Dundas St E,101,Mississauga,ON,L5A 3V8,905-896-8125,https://peelchildcare.cioc.ca/record/CDR1733,Community-Based Non-Profit Centre,No,7,126334
-8857778.0172,5399103.0,83,CC-OTH-047,Caring for Kids - The Centre,Social Services,Child Care (Other),Child Care Centre,1110 Caven St ,105,Mississauga,ON,L5G 4N4,905-274-4362,https://peelchildcare.cioc.ca/record/CDR0578,Community-Based Non-Profit Centre,No,1,133337
-8886489.6646,5421684.6821,84,CC-OTH-365,Casa Dee Montessori School,Social Services,Child Care (Other),Child Care Centre,625 Remembrance Rd,D103,Brampton,ON,L7A4P2,905-955-2333,https://peel.cioc.ca/record/CDR1795 ,Community-Based For-Profit Centre,No,6,482956
-8863927.6102,5398358.5544,85,CC-PLP-037,Cashmere (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2455 Cashmere Ave,,Mississauga,ON,L5B 2M7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0684,School-Based Centre,Yes,7,232453
-8868956.6208,5433707.4361,86,CC-OTH-305,Castle Oaks (Caring for Kids),Social Services,Child Care (Other),Child Care Centre,155 Castle Oaks Cross,,Brampton,ON,L6P 3V4,905-457-3370 ext 2,https://peelchildcare.cioc.ca/record/CDR1401,School-Based Centre,Yes,10,
-8875823.0362,5398830.6624,87,CC-YMC-009,Castlebridge (YMCA),Social Services,Child Care (YMCA),Child Care Centre,2801 Castlebridge Dr,,Mississauga,ON,L5M 5J9,416-670-1800,https://peelchildcare.cioc.ca/record/CDR0852,School-Based Centre,Yes,9,308788
-8870846.9532,5432929.0658,88,CC-PLP-233,Castlemore (PLASP),Social Services,Child Care (PLASP),Child Care Centre,9916 The Gore Rd,,Brampton,ON,L6P 0A7,905-913-0845,https://peelchildcare.cioc.ca/record/CDR1358?Number=216,School-Based Centre,Yes,8,184301
-8874081.2738,5424671.0454,89,CC-YMC-070,Central Park (YMCA),Social Services,Child Care (YMCA),Child Care Centre,1100 Central Park Dr,,Brampton,ON,L6S 2C9,905-793-5970,https://peelchildcare.cioc.ca/record/CDR0382,Community-Based Non-Profit Centre,No,8,167829
-8868502.0397,5394943.3519,90,CC-PLP-017,Centre Educatif Eveil aux Savoirs (Saint Jean Baptiste),Social Services,Child Care (French),Child Care Centre,1910 Broad Hollow Gate,,Mississauga,ON,L5L 3T4,905-569-8161,https://peelchildcare.cioc.ca/record/CDR0325,School-Based Centre,Yes,8,
-8869747.8162,5404317.7334,91,CC-YMC-014,Champlain Trail (YMCA),Social Services,Child Care (YMCA),Child Care Centre,895 Ceremonial Dr,,Mississauga,ON,L5R 3B5,905-507-1058,https://peelchildcare.cioc.ca/record/CDR0498,School-Based Centre,Yes,5,
-8874921.9429,5412065.1487,92,CC-FDC-007,Cherrytree (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,155 Cherrytree Dr,,Brampton,ON,L6Y 3M9,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0458,School-Based Centre,Yes,4,57223
-8879115.8496,5416658.077,93,CC-OTH-323,Cherubs Cove Montessori Child Care Inc. Downtown Brampton Campus,Social Services,Child Care (Other),Child Care Centre,104 Queen St W,,Brampton,ON,L6X1A4,905-451-0575,https://peelchildcare.cioc.ca/record/CDR1449,Community-Based For-Profit Centre,No,1,444687
-8872593.4426,5427896.9131,94,CC-OTH-201,Children's Choice Day Care Inc.,Social Services,Child Care (Other),Child Care Centre,2021 Williams Pky E,"5,6",Brampton,ON,L6S 5P4,905-789-1716,https://peelchildcare.cioc.ca/record/CDR0392,Community-Based For-Profit Centre,No,8,310714
-8884693.374,5416778.8093,95,CC-OTH-242,Children's Circle Montessori School,Social Services,Child Care (Other),Child Care Centre,35 Brisdale Dr,,Brampton,ON,L7A 0S9,905-609-6900,https://peelchildcare.cioc.ca/record/CDR0972,Community-Based For-Profit Centre,No,6,257534
-8876252.3005,5403597.0855,96,CC-OTH-364,Children's Learning Garden Inc.,Social Services,Child Care (Other),Child Care Centre,6521 Mississauga Rd,Suite A,Mississauga,ON,L5N1A6,905-821-3424,https://peel.cioc.ca/record/CDR1753?Number=39,Community-Based For-Profit Centre,No,11,321150
-8863912.4157,5389534.1773,97,CC-OTH-004,Children's Palace Montessori and Pre-school,Social Services,Child Care (Other),Child Care Centre,820 Southdown Rd,,Mississauga,ON,L5J 2Y4,905-823-3317,https://peelchildcare.cioc.ca/record/CDR0572,Community-Based For-Profit Centre,No,2,49511
